,fqdn,vt_duration,vt_count,vt_mal_count,vt_ratio,firstseen,lastseen,#query,#ip,#ns,ns_matching,#soa,soa_matching,label,positives,response_code,rlength,url_after_redirects,url,domain_malicious,suspicious_tld,length,entropy,fake_tld,brand,pop_keywords,similar,is_idn,minus,num_subdomains,mean_urls_per_subdomain,mean_path_depth_per_subdomain,mean_query_parameters_per_subdomain_paths,mean_path_length_per_subdomain_paths,mean_number_of_popular_keywords_per_subdomain_paths,url_length,#query_parameters,#dots_in_path,#brands_in_path,#similar_keywords_in_path,#suspicious_keywords_in_path,Alexa_Rank_Avg,Is_FQDN_In_Alexa_1Year
10,apple-storeapps.serveirc.com,14515200.0,45.0,45.0,1.0,2019-06-09 03:24:42,2019-07-02 15:06:48,13.0,1.0,1.0,True,1.0,True,1,10,"1472    1
Name: response_code, dtype: int64","1472    317
Name: rlength, dtype: int64","1472    True
Name: url_after_redirects, dtype: bool","1472    http://apple-storeapps.serveirc.com/
Name: url, dtype: object","1272    True
Name: domain_malicious, dtype: bool",N,28,0.45132213812270616,0,1,0,2,N,1,1,36.0,1.0,0.0,0.0,0.0,69,1,2,1,0,0,1000000.0,False
11,customerpypalogin.serveirc.com,42595200.0,54.0,54.0,1.0,2018-01-02 15:05:16,2018-01-02 15:05:17,6.0,1.0,1.0,True,1.0,True,1,5,"634    1
Name: response_code, dtype: int64","634    0
Name: rlength, dtype: int64","634    False
Name: url_after_redirects, dtype: bool","634    http://customerpypalogin.serveirc.com/
Name: url, dtype: object","1276    True
Name: domain_malicious, dtype: bool",N,30,0.4924465391931262,0,0,2,0,N,0,1,38.0,1.0,0.0,0.0,0.0,70,1,2,0,0,0,1000000.0,False
12,appleweb.serveirc.com,18748800.0,37.0,37.0,1.0,2019-05-01 10:11:26,2019-05-02 15:53:04,7.0,1.0,1.0,True,1.0,True,1,8,"524    1
Name: response_code, dtype: int64","524    0
Name: rlength, dtype: int64","524    False
Name: url_after_redirects, dtype: bool","524    http://appleweb.serveirc.com/
Name: url, dtype: object","1029    True
Name: domain_malicious, dtype: bool",N,21,0.4538015577369507,0,1,0,1,N,0,1,29.0,1.0,0.0,0.0,0.0,61,1,2,1,0,0,1000000.0,False
13,bapak-sukirman.blogspot.com.co,17798400.0,34.0,34.0,1.0,2019-10-24 14:52:43,2019-11-08 21:03:57,8.0,4.0,2.0,True,1.0,True,1,8,"122    1
Name: response_code, dtype: int64","122    143509
Name: rlength, dtype: int64","122    True
Name: url_after_redirects, dtype: bool","122    http://bapak-sukirman.blogspot.com.co/
Name: url, dtype: object","1435    True
Name: domain_malicious, dtype: bool",N,30,0.4904039356509714,0,0,0,0,N,1,2,38.0,1.0,0.0,0.0,0.0,70,1,3,0,0,0,1000000.0,False
14,fblogintokenja.blogspot.com,432000.0,6.0,6.0,1.0,,,,,,,,,1,8,"80    1
Name: response_code, dtype: int64","80    143511
Name: rlength, dtype: int64","80    True
Name: url_after_redirects, dtype: bool","80    http://fblogintokenja.blogspot.com/
Name: url, dtype: object","735    True
Name: domain_malicious, dtype: bool",N,27,0.4850570549257805,0,0,1,0,N,0,1,35.666668,1.0,0.0,0.0,0.0,66,1,2,0,0,0,1000000.0,False
15,applecustomersupport.net.co.cp-51.webhostbox.net,32227200.0,16.0,16.0,1.0,2018-11-03 02:48:19,2020-06-05 01:28:00,196.0,1.0,2.0,True,1.0,None,1,5,"833    1
Name: response_code, dtype: int64","833    26602
Name: rlength, dtype: int64","833    True
Name: url_after_redirects, dtype: bool","833    http://applecustomersupport.net.co.cp-51.webho...
Name: url, dtype: object","1463    True
Name: domain_malicious, dtype: bool",N,48,0.5013547467498145,1,1,2,1,N,1,4,56.0,1.0,0.0,0.0,0.0,81,1,0,1,0,0,1000000.0,False
16,noithatbd.blogspot.mx,41385600.0,10.0,10.0,1.0,2019-11-08 02:47:48,2019-11-08 02:47:48,2.0,1.0,1.0,True,1.0,True,1,5,"563    1
Name: response_code, dtype: int64","563    143909
Name: rlength, dtype: int64","563    True
Name: url_after_redirects, dtype: bool","563    http://noithatbd.blogspot.mx/2013/08/phong-mau...
Name: url, dtype: object","1141    False
Name: domain_malicious, dtype: bool",N,21,0.468624326749346,0,0,0,0,N,0,1,68.333336,3.0,0.0,8.934328,0.0,81,1,2,0,0,0,1000000.0,False
17,mcsbzu.blogspot.com.es,28080000.0,3.0,3.0,1.0,2019-10-31 09:16:56,2019-10-31 09:16:56,2.0,1.0,1.0,True,1.0,True,1,5,"1169    1
Name: response_code, dtype: int64","1169    143494
Name: rlength, dtype: int64","1169    True
Name: url_after_redirects, dtype: bool","1169    http://mcsbzu.blogspot.com.es/search/label/Art...
Name: url, dtype: object","746    False
Name: domain_malicious, dtype: bool",N,22,0.442288824653369,0,0,0,0,N,0,2,65.0,3.0,0.0,0.0,0.0,82,1,3,0,0,0,1000000.0,False
18,zooz45.hopto.org,18144000.0,45.0,45.0,1.0,2019-05-30 08:48:05,2019-05-30 08:59:41,3.0,1.0,1.0,True,1.0,True,1,7,"536    1
Name: response_code, dtype: int64","536    0
Name: rlength, dtype: int64","536    False
Name: url_after_redirects, dtype: bool","536    http://zooz45.hopto.org/
Name: url, dtype: object","1352    True
Name: domain_malicious, dtype: bool",N,16,0.3780496823480447,0,0,0,0,N,0,1,24.0,1.0,0.0,0.0,0.0,56,1,2,0,0,0,1000000.0,False
19,jpmorgan84d5fs-alertchaseacc654646derw3.000webhostapp.com,3456000.0,7.0,7.0,1.0,,,,,,,,,1,8,"1302    1
Name: response_code, dtype: int64","1302    30909
Name: rlength, dtype: int64","1302    True
Name: url_after_redirects, dtype: bool","1302    https://jpmorgan84d5fs-alertchaseacc654646derw...
Name: url, dtype: object","1015    True
Name: domain_malicious, dtype: bool",N,57,0.5648703380557357,0,1,1,1,N,1,1,66.0,1.0,0.0,0.0,0.0,82,1,0,1,0,0,1000000.0,False
20,mail.bankofamerica-onl.serveirc.com,14774400.0,37.0,37.0,1.0,,,,,,,,,1,7,"211    1
Name: response_code, dtype: int64","211    0
Name: rlength, dtype: int64","211    False
Name: url_after_redirects, dtype: bool","211    http://mail.bankofamerica-onl.serveirc.com/
Name: url, dtype: object","1494    True
Name: domain_malicious, dtype: bool",N,35,0.4794310605089015,0,1,0,1,N,1,2,43.0,1.0,0.0,0.0,0.0,75,1,3,1,0,0,1000000.0,False
21,signin-verifyuser.serveirc.com,,,,,2019-07-30 10:40:00,2019-07-30 10:40:00,2.0,1.0,1.0,True,1.0,True,1,10,"24    1
Name: response_code, dtype: int64","24    0
Name: rlength, dtype: int64","24    False
Name: url_after_redirects, dtype: bool","24    https://signin-verifyuser.serveirc.com/
Name: url, dtype: object","93    True
Name: domain_malicious, dtype: bool",N,30,0.4602159672132275,0,0,1,0,N,1,1,38.333332,1.0,0.0,0.0,0.0,70,1,2,0,0,0,3070.177,False
22,apple-statementinfo.serveirc.com,33177600.0,21.0,21.0,1.0,2018-03-13 12:43:41,2020-07-07 14:52:49,252.0,2.0,1.0,True,1.0,True,1,6,"421    1
Name: response_code, dtype: int64","421    0
Name: rlength, dtype: int64","421    False
Name: url_after_redirects, dtype: bool","421    http://apple-statementinfo.serveirc.com/
Name: url, dtype: object","1118    True
Name: domain_malicious, dtype: bool",N,32,0.48295106158440737,0,1,0,1,N,1,1,40.0,1.0,0.0,0.0,0.0,72,1,2,1,0,0,1000000.0,False
23,applservice-verif.serveirc.com,13219200.0,34.0,34.0,1.0,2019-06-29 17:00:29,2019-06-30 10:27:45,4.0,1.0,1.0,True,1.0,True,1,8,"104    1
Name: response_code, dtype: int64","104    163
Name: rlength, dtype: int64","104    True
Name: url_after_redirects, dtype: bool","104    http://applservice-verif.serveirc.com/
Name: url, dtype: object","1734    True
Name: domain_malicious, dtype: bool",N,30,0.4472184013410059,0,0,1,1,N,1,1,38.0,1.0,0.0,0.0,0.0,70,1,2,0,0,0,1000000.0,False
24,apple-secure12sta.redirectme.net,13392000.0,26.0,26.0,1.0,2019-07-09 00:11:00,2019-07-13 01:56:37,46.0,1.0,1.0,True,1.0,True,1,10,"884    1
Name: response_code, dtype: int64","884    0
Name: rlength, dtype: int64","884    False
Name: url_after_redirects, dtype: bool","884    http://apple-secure12sta.redirectme.net/
Name: url, dtype: object","1380    True
Name: domain_malicious, dtype: bool",N,32,0.4720263272653555,0,1,1,1,N,1,1,40.0,1.0,0.0,0.0,0.0,72,1,2,1,0,0,1000000.0,False
25,bankofamerica-on.serveirc.com,14774400.0,38.0,38.0,1.0,2019-06-15 13:32:05,2019-06-17 11:13:15,7.0,1.0,1.0,True,1.0,True,1,8,"62    1
Name: response_code, dtype: int64","62    0
Name: rlength, dtype: int64","62    False
Name: url_after_redirects, dtype: bool","62    http://bankofamerica-on.serveirc.com/
Name: url, dtype: object","810    True
Name: domain_malicious, dtype: bool",N,29,0.47028882291871643,0,1,0,1,N,1,1,37.0,1.0,0.0,0.0,0.0,68,1,2,1,0,0,1000000.0,False
26,banamex-bancanetempresariall-mx.4irc.com,0.0,1.0,1.0,1.0,2016-01-27 18:18:30,2020-08-07 14:07:29,168.0,6.0,5.0,True,1.0,None,1,6,"832    1
Name: response_code, dtype: int64","832    1938
Name: rlength, dtype: int64","832    True
Name: url_after_redirects, dtype: bool","832    http://banamex-bancanetempresariall-mx.4irc.co...
Name: url, dtype: object","838    True
Name: domain_malicious, dtype: bool",N,40,0.48469589812779695,1,0,0,0,N,2,1,84.0,3.0,0.0,0.0,0.0,81,1,0,0,0,0,1000000.0,False
27,yah00mall.000webhostapp.com,4233600.0,16.0,16.0,1.0,,,,,,,,,1,9,"682    1
Name: response_code, dtype: int64","682    7480
Name: rlength, dtype: int64","682    True
Name: url_after_redirects, dtype: bool","682    http://yah00mall.000webhostapp.com/
Name: url, dtype: object","1506    True
Name: domain_malicious, dtype: bool",N,27,0.4630436865232739,0,0,0,0,N,0,1,35.0,1.0,0.0,0.0,0.0,67,1,2,0,0,0,1000000.0,False
28,onibus-blogdojeferson.blogspot.com.br,25488000.0,2.0,2.0,1.0,2019-11-08 21:51:36,2019-11-08 21:51:36,2.0,1.0,1.0,True,1.0,True,1,5,"474    1
Name: response_code, dtype: int64","474    4013
Name: rlength, dtype: int64","474    True
Name: url_after_redirects, dtype: bool","474    http://onibus-blogdojeferson.blogspot.com.br/2...
Name: url, dtype: object","1529    True
Name: domain_malicious, dtype: bool",N,37,0.49185307901003816,0,0,0,0,N,1,2,75.333336,3.0,0.0,4.4969125,0.0,81,1,3,0,0,0,1000000.0,False
29,appleid-appleverif.serveirc.com,14601600.0,35.0,35.0,1.0,2018-01-04 06:52:16,2020-08-03 23:24:43,111.0,4.0,1.0,True,1.0,True,1,7,"986    1
Name: response_code, dtype: int64","986    393316
Name: rlength, dtype: int64","986    True
Name: url_after_redirects, dtype: bool","986    http://appleid-appleverif.serveirc.com/
Name: url, dtype: object","959    True
Name: domain_malicious, dtype: bool",N,31,0.4615349491769077,0,2,0,2,N,1,1,39.0,1.0,0.0,0.0,0.0,71,1,2,1,0,0,1000000.0,False
30,cpanel.paypal-safety.serveirc.com,10972800.0,24.0,24.0,1.0,,,,,,,,,1,8,"1253    1
Name: response_code, dtype: int64","1253    0
Name: rlength, dtype: int64","1253    False
Name: url_after_redirects, dtype: bool","1253    http://cpanel.paypal-safety.serveirc.com/
Name: url, dtype: object","1639    True
Name: domain_malicious, dtype: bool",N,33,0.48560737392811804,0,1,0,1,N,1,2,41.166668,1.0,0.0,0.0,0.0,74,1,3,1,0,0,1000000.0,False
31,appleappleidsubhostnetmail.ooguy.com,9676800.0,23.0,23.0,1.0,2019-08-14 01:20:05,2019-08-14 05:06:24,6.0,1.0,3.0,True,2.0,None,1,11,"968    1
Name: response_code, dtype: int64","968    0
Name: rlength, dtype: int64","968    False
Name: url_after_redirects, dtype: bool","968    https://appleappleidsubhostnetmail.ooguy.com/m...
Name: url, dtype: object","1257    True
Name: domain_malicious, dtype: bool",N,36,0.49948833011725763,0,2,0,2,N,0,1,89.25,2.0,0.85,4.9,0.0,81,1,2,1,0,0,1000000.0,False
32,appleeid-scure2s.servebeer.com,6912000.0,17.0,17.0,1.0,2019-07-21 07:50:20,2019-07-21 12:16:19,6.0,1.0,1.0,True,1.0,True,1,8,"100    1
Name: response_code, dtype: int64","100    0
Name: rlength, dtype: int64","100    False
Name: url_after_redirects, dtype: bool","100    http://appleeid-scure2s.servebeer.com/
Name: url, dtype: object","686    True
Name: domain_malicious, dtype: bool",N,30,0.4668560811918626,0,1,0,1,N,1,1,38.0,1.0,0.0,0.0,0.0,70,1,2,1,0,0,1000000.0,False
33,paypal-safekey.serveftp.com,3110400.0,3.0,3.0,1.0,2019-07-06 17:56:44,2019-07-12 01:08:16,41.0,1.0,1.0,True,1.0,True,1,11,"1003    1
Name: response_code, dtype: int64","1003    337
Name: rlength, dtype: int64","1003    True
Name: url_after_redirects, dtype: bool","1003    http://paypal-safekey.serveftp.com/myaccount
Name: url, dtype: object","1006    True
Name: domain_malicious, dtype: bool",N,27,0.47626013598859257,0,1,1,1,N,1,1,39.1875,1.0,0.0,3.8058343,0.0,77,1,2,1,0,0,1000000.0,False
34,app-accountduedisab.servebeer.com,10281600.0,23.0,23.0,1.0,2019-07-07 17:55:37,2019-07-08 01:22:17,9.0,1.0,1.0,True,1.0,True,1,7,"245    1
Name: response_code, dtype: int64","245    0
Name: rlength, dtype: int64","245    False
Name: url_after_redirects, dtype: bool","245    http://app-accountduedisab.servebeer.com/
Name: url, dtype: object","1656    True
Name: domain_malicious, dtype: bool",N,33,0.4899454271689435,0,0,1,1,N,1,1,41.0,1.0,0.0,0.0,0.0,73,1,2,0,0,0,1000000.0,False
35,mail.service-applee.serveirc.com,14774400.0,37.0,37.0,1.0,,,,,,,,,1,8,"1030    1
Name: response_code, dtype: int64","1030    0
Name: rlength, dtype: int64","1030    False
Name: url_after_redirects, dtype: bool","1030    http://mail.service-applee.serveirc.com/
Name: url, dtype: object","1136    True
Name: domain_malicious, dtype: bool",N,32,0.44324482246231,0,1,1,1,N,1,2,40.0,1.0,0.0,0.0,0.0,73,1,3,1,0,0,1000000.0,False
36,librerialuces.blogspot.com.es,33523200.0,11.0,11.0,1.0,2019-11-07 18:29:42,2019-11-08 02:54:44,4.0,2.0,1.0,True,1.0,True,1,5,"110    1
Name: response_code, dtype: int64","110    143712
Name: rlength, dtype: int64","110    True
Name: url_after_redirects, dtype: bool","110    http://librerialuces.blogspot.com.es/2012_11_0...
Name: url, dtype: object","1658    False
Name: domain_malicious, dtype: bool",N,29,0.4702888229187163,0,0,0,0,N,0,2,58.88889,1.8888888,0.0,13.763433,0.0,81,1,3,0,0,0,1000000.0,False
37,yaho-zm.000webhostapp.com,518400.0,4.0,4.0,1.0,,,,,,,,,1,13,"874    1
Name: response_code, dtype: int64","874    8451
Name: rlength, dtype: int64","874    True
Name: url_after_redirects, dtype: bool","874    http://yaho-zm.000webhostapp.com/
Name: url, dtype: object","1451    True
Name: domain_malicious, dtype: bool",N,25,0.48293315722309926,0,0,0,1,N,1,1,33.0,1.0,0.0,0.0,0.0,65,1,2,0,0,0,1000000.0,False
38,appleinvoice13jun.ddnsking.com,8467200.0,27.0,27.0,1.0,2019-06-13 18:10:40,2019-06-24 10:17:26,19.0,1.0,1.0,True,1.0,True,1,7,"1327    1
Name: response_code, dtype: int64","1327    0
Name: rlength, dtype: int64","1327    False
Name: url_after_redirects, dtype: bool","1327    http://appleinvoice13jun.ddnsking.com/
Name: url, dtype: object","1024    True
Name: domain_malicious, dtype: bool",N,30,0.5102159672132275,0,1,1,1,N,0,1,38.0,1.0,0.0,0.0,0.0,71,1,2,1,0,0,1000000.0,False
39,alert-verify.serveirc.com,18662400.0,49.0,49.0,1.0,2019-05-07 02:24:39,2019-06-02 22:30:26,7.0,1.0,1.0,True,1.0,True,1,8,"484    1
Name: response_code, dtype: int64","484    241
Name: rlength, dtype: int64","484    True
Name: url_after_redirects, dtype: bool","484    http://alert-verify.serveirc.com/
Name: url, dtype: object","1111    True
Name: domain_malicious, dtype: bool",N,25,0.46048203297251367,0,0,2,0,N,1,1,33.0,1.0,0.0,0.0,0.0,65,1,2,0,0,0,1000000.0,False
40,newirsgova.blogspot.be,17452800.0,38.0,38.0,1.0,2019-11-12 22:52:19,2019-11-12 22:52:19,2.0,1.0,1.0,True,1.0,True,1,8,"1251    1
Name: response_code, dtype: int64","1251    143507
Name: rlength, dtype: int64","1251    True
Name: url_after_redirects, dtype: bool","1251    http://newirsgova.blogspot.be/
Name: url, dtype: object","1542    True
Name: domain_malicious, dtype: bool",N,22,0.4735943711407485,0,0,0,0,N,0,1,30.0,1.0,0.0,0.0,0.0,63,1,2,0,0,0,1000000.0,False
41,whm.intl-accountappleid.3utilities.com,14774400.0,37.0,37.0,1.0,,,,,,,,,1,6,"1232    1
Name: response_code, dtype: int64","1232    0
Name: rlength, dtype: int64","1232    False
Name: url_after_redirects, dtype: bool","1232    http://whm.intl-accountappleid.3utilities.com/
Name: url, dtype: object","744    True
Name: domain_malicious, dtype: bool",N,38,0.49850966850253625,0,1,1,1,N,1,2,46.0,1.0,0.0,0.0,0.0,79,1,3,1,0,0,1000000.0,False
42,tr-facebook.blogspot.ru,0.0,1.0,1.0,1.0,2019-10-25 14:19:14,2019-11-12 07:13:15,6.0,2.0,1.0,True,1.0,True,1,7,"422    1
Name: response_code, dtype: int64","422    143501
Name: rlength, dtype: int64","422    True
Name: url_after_redirects, dtype: bool","422    http://tr-facebook.blogspot.ru/search/label/%C...
Name: url, dtype: object","1596    True
Name: domain_malicious, dtype: bool",N,23,0.4784887241444648,0,1,0,1,N,1,1,99.545456,2.4545455,0.0,93.51749000000001,0.0,81,1,2,1,0,0,1000000.0,False
43,loginpaypal2017.webcindario.com,43286400.0,46.0,46.0,1.0,,,,,,,,,1,6,"446    1
Name: response_code, dtype: int64","446    2645
Name: rlength, dtype: int64","446    True
Name: url_after_redirects, dtype: bool","446    http://loginpaypal2017.webcindario.com/
Name: url, dtype: object","741    True
Name: domain_malicious, dtype: bool",N,31,0.5214331436309221,0,1,1,1,N,0,1,39.0,1.0,0.0,0.0,0.0,71,1,2,1,0,0,1000000.0,False
44,appleunlockedstatus.serveirc.com,41385600.0,36.0,36.0,1.0,2018-03-05 07:42:24,2020-06-01 20:02:47,132.0,3.0,1.0,True,1.0,True,1,8,"521    1
Name: response_code, dtype: int64","521    0
Name: rlength, dtype: int64","521    False
Name: url_after_redirects, dtype: bool","521    http://appleunlockedstatus.serveirc.com/
Name: url, dtype: object","817    True
Name: domain_malicious, dtype: bool",N,32,0.49410244082077,0,1,0,1,N,0,1,40.0,1.0,0.0,0.0,0.0,72,1,2,1,0,0,1000000.0,False
45,bankoffamerica.webcindario.com,43891200.0,11.0,11.0,1.0,,,,,,,,,1,6,"1369    1
Name: response_code, dtype: int64","1369    2645
Name: rlength, dtype: int64","1369    True
Name: url_after_redirects, dtype: bool","1369    http://bankoffamerica.webcindario.com/aa892b70...
Name: url, dtype: object","875    True
Name: domain_malicious, dtype: bool",N,30,0.4622585707553821,0,0,1,0,N,0,1,77.4,1.4,0.0,9.2,0.0,82,1,2,0,0,0,1000000.0,False
46,applesign-account.serveirc.com,16416000.0,43.0,43.0,1.0,2019-05-30 16:19:50,2019-05-30 16:19:50,3.0,1.0,1.0,True,1.0,True,1,7,"438    1
Name: response_code, dtype: int64","438    0
Name: rlength, dtype: int64","438    False
Name: url_after_redirects, dtype: bool","438    http://applesign-account.serveirc.com/
Name: url, dtype: object","1567    True
Name: domain_malicious, dtype: bool",N,30,0.49354930054656077,0,1,1,1,N,1,1,38.0,1.0,0.0,0.0,0.0,70,1,2,1,0,0,1000000.0,False
47,applestore-auth.serveirc.com,18316800.0,52.0,52.0,1.0,2019-06-06 17:47:15,2019-06-06 17:47:15,3.0,1.0,1.0,True,1.0,True,1,9,"1759    1
Name: response_code, dtype: int64","1759    321
Name: rlength, dtype: int64","1759    True
Name: url_after_redirects, dtype: bool","1759    http://applestore-auth.serveirc.com/
Name: url, dtype: object","1446    True
Name: domain_malicious, dtype: bool",N,28,0.48147787854732643,0,1,0,1,N,1,1,36.0,1.0,0.0,0.0,0.0,69,1,2,1,0,0,1000000.0,False
48,id-pay-inc.blogspot.com.es,17712000.0,36.0,36.0,1.0,2019-11-12 20:04:54,2019-11-12 20:04:54,2.0,1.0,1.0,True,1.0,True,1,7,"1192    1
Name: response_code, dtype: int64","1192    143507
Name: rlength, dtype: int64","1192    True
Name: url_after_redirects, dtype: bool","1192    http://id-pay-inc.blogspot.com.es/
Name: url, dtype: object","1563    True
Name: domain_malicious, dtype: bool",N,26,0.49375795254390115,0,0,0,1,N,2,2,34.0,1.0,0.0,0.0,0.0,67,1,3,0,0,0,1000000.0,False
49,notifiyid-redirectupdate.blogspot.be,13046400.0,9.0,9.0,1.0,2019-11-07 19:08:39,2019-11-07 19:08:39,2.0,1.0,1.0,True,1.0,True,1,8,"13    1
Name: response_code, dtype: int64","13    143519
Name: rlength, dtype: int64","13    True
Name: url_after_redirects, dtype: bool","13    https://notifiyid-redirectupdate.blogspot.be/?m=1
Name: url, dtype: object","1518    True
Name: domain_malicious, dtype: bool",N,36,0.5021094675302488,0,0,1,0,N,1,1,46.333332,1.0,0.0,0.0,0.0,80,1,2,0,0,0,1000000.0,False
50,jenavietnam.blogspot.mx,41385600.0,6.0,6.0,1.0,2019-10-29 14:34:00,2019-10-29 14:34:00,2.0,1.0,1.0,True,1.0,True,1,5,"767    1
Name: response_code, dtype: int64","767    143499
Name: rlength, dtype: int64","767    True
Name: url_after_redirects, dtype: bool","767    http://jenavietnam.blogspot.mx/2014/05/cai-tao...
Name: url, dtype: object","1457    False
Name: domain_malicious, dtype: bool",N,23,0.4893582893618562,0,0,0,0,N,0,1,71.44444,3.0,0.0,8.62955,0.0,81,1,2,0,0,0,1000000.0,False
