,Unnamed: 0,Unnamed: 0.1,apex,fqdns,firstseen-pdns,lastseen-pdns,days count-pdns,query count,name servers,ns domain,soa_domains_nos,soa_domain,suspicious_tld,length,entropy,fake_tld,brand,pop_keywords,similar,is_idn,minus,num_subdomains,Label,Number_of_total_Scans,Number_of_Benign_Scans,apex_marked_malicious,domain_marked_malicious,sibling_domain_marked_malicious,Number_of_query_parameters,Positive_count,Response_code,URL_after_redirects,resolution,rlength,url_length,number of days between firstseen and lastseen,Alexa rank (avg),url,mean_urls_per_subdomain,mean_path_depth_per_subdomain,mean_query_parameters_per_subdomain_paths,mean_path_length_per_subdomain_paths,mean_number_of_popular_keywords_per_subdomain_paths,#query_parameters,#dots_in_path,#brands_in_path,#similar_keywords_in_path,#suspicious_keywords_in_path
229,229,229,ofm.pl,kajetan.ofm.pl,2010-07-02,2020-01-04,7502,1,1,True,1,True,N,14,0.4402050536856128,0,0,0,0,N,0,1,Compromised,78.0,0.0,77.0,0.0,1.0,0,8,200,False,89.186.5.153,11271,81,380,596789.75,"139    http://kajetan.ofm.pl/foto/Labedzie/slides/03....
Name: url, dtype: object",76.0,4.0,0.0,36.039474,0.0,1,2,0,0,0
230,230,230,dailybreadhost.com,ns1.dailybreadhost.com,2012-08-12,2020-01-04,1715410,3,2,True,1,None,N,22,0.5006107807480746,0,0,0,0,N,0,1,Compromised,8.0,0.0,8.0,0.0,4.0,0,5,404,False,173.248.148.234,10146,81,1094,461986.0,"790    http://ns1.dailybreadhost.com/~csisttho/gift/l...
Name: url, dtype: object",4.0,3.0,0.0,37.0,0.0,1,2,0,0,0
231,231,231,bessed.com,www.bessed.com,2010-06-25,2020-01-04,284051,3,5,True,1,None,N,14,0.3798935697652535,0,0,0,0,N,0,1,Compromised,13.0,0.0,12.0,0.0,0.0,0,6,200,False,74.208.236.181,13233,81,2141,961676.0,"805    http://www.bessed.com/bankofamericacreditcardl...
Name: url, dtype: object",12.0,2.0,0.0,30.0,0.0,1,2,1,0,0
232,232,232,besoft.com.cn,pb.besoft.com.cn,2013-10-23,2020-01-03,8346,2,1,True,1,True,N,16,0.4159774408207701,0,0,0,0,N,0,2,Compromised,4.0,0.0,4.0,0.0,0.0,0,8,200,False,123.56.179.90,18793,74,70,89338.0,"368    http://pb.besoft.com.cn/bbs/reannounce.asp
Name: url, dtype: object",4.0,2.0,0.0,19.0,0.0,1,3,0,0,0
233,233,233,customerservicescoreboard.com,customerservicescoreboard.com,2014-11-04,2020-01-04,30744,11,1,True,1,True,N,29,0.4402006895199584,0,0,2,0,N,0,0,Compromised,46.0,2.0,44.0,44.0,12.0,0,8,200,True,65.23.159.102,24751,82,1161,622995.0,"1250    http://customerservicescoreboard.com/versus/HS...
Name: url, dtype: object",34.0,2.2941177,0.0,130.94118,0.0,1,1,0,0,0
234,234,234,proirrigation.com,proirrigation.com,2014-04-06,2020-01-04,15173,3,1,True,1,True,N,17,0.4060456251761558,0,0,0,0,N,0,0,Compromised,15.0,0.0,15.0,15.0,0.0,0,5,404,True,35.197.5.185,60,74,2115,718610.6666666665,"1043    http://proirrigation.com/pp/uk/index.html
Name: url, dtype: object",15.0,2.6666667,0.0,18.0,0.0,1,1,0,0,0
235,235,235,asp300.com,cnc.asp300.com,2010-07-10,2020-01-01,3761,1,4,True,4,True,N,14,0.3977507095512776,0,0,0,0,N,0,1,Compromised,156.0,0.0,156.0,0.0,53.0,0,6,None,False,221.214.210.28,None,81,1379,286763.0,"427    http://cnc.asp300.com:8008/VIPcode_bak/41/BTC.rar
Name: url, dtype: object",103.0,2.8058252,0.0,11.980582,0.0,1,2,0,0,0
236,236,236,deckdesigns.de,sw.deckdesigns.de,2014-11-30,2020-01-04,28391,1,2,True,2,None,N,17,0.39133974282321465,0,0,0,0,N,0,1,Compromised,26.0,0.0,26.0,0.0,0.0,0,5,200,False,217.14.112.69,1585,81,249,698277.0,"688    http://sw.deckdesigns.de/minis/assault-gunboat...
Name: url, dtype: object",26.0,2.7692308,0.0,35.5,0.0,1,2,0,0,0
237,237,237,tarantulas.co.za,www.tarantulas.co.za,2011-11-28,2020-01-04,7959,1,5,True,1,None,N,20,0.4183049217994888,0,0,0,0,N,0,2,Compromised,9.0,0.0,4.0,0.0,0.0,0,5,200,False,107.154.160.125,50271,81,2,964372.0,"671    http://www.tarantulas.co.za/tarantula-general/...
Name: url, dtype: object",4.0,2.0,0.0,44.0,0.0,1,3,0,0,0
238,238,238,inescoingenieros.com,inescoingenieros.com,2012-06-13,2020-01-04,13707,3,3,True,2,True,N,20,0.3963688271127209,0,0,0,0,N,0,0,Compromised,12.0,0.0,12.0,12.0,0.0,0,5,404,False,91.134.212.154,66249,81,617,486367.0,"918    http://inescoingenieros.com/moodle/lib/cookies.js
Name: url, dtype: object",12.0,2.4166667,0.0,27.416665999999996,0.0,1,1,0,1,0
239,239,239,boswars.org,www.boswars.org,2010-06-24,2020-01-04,47739,1,1,True,1,True,N,15,0.3550279930427285,0,0,0,0,N,0,1,Compromised,20.0,1.0,19.0,0.0,0.0,0,5,200,False,128.31.0.34,11990,69,3,577193.3333333335,"191    http://www.boswars.org/dist/releases/
Name: url, dtype: object",20.0,2.9,0.0,14.9,0.0,1,2,0,0,0
240,240,240,delreyhost.com,ns41.delreyhost.com,2013-01-11,2020-01-04,1330833,4,1,True,1,None,N,19,0.47835935068765,0,0,0,0,N,0,1,Compromised,55.0,4.0,48.0,0.0,25.0,0,5,404,False,205.134.246.123,10137,81,1466,873802.0,"850    http://ns41.delreyhost.com/Gallery/download_fi...
Name: url, dtype: object",27.0,2.6666667,0.0,30.0,0.0,1,2,0,0,0
241,241,241,tt001.com,tt001.com,2013-07-05,2020-01-04,5937,3,3,True,3,None,N,9,0.3406850756895644,0,0,0,0,N,0,0,Compromised,43.0,0.0,43.0,43.0,20.0,0,6,200,True,64.90.43.204,1148,50,1271,454920.25,"0    http://tt001.com/dl/
Name: url, dtype: object",23.0,2.0,0.0,6.0869565,0.0,1,1,0,0,0
242,242,242,computerconcept.net,dns-2.computerconcept.net,2011-05-12,2019-12-02,4757267,4,3,True,2,True,N,25,0.4553842814736849,0,0,0,0,N,1,1,Compromised,5.0,0.0,3.0,0.0,0.0,0,5,200,False,76.72.89.61,26,81,908,553321.0,"412    http://dns-2.computerconcept.net/cache/page/dr...
Name: url, dtype: object",3.0,4.0,0.0,27.0,0.0,1,2,0,0,0
243,243,243,chrissyx.com,www.chrissyx.com,2012-10-24,2020-01-04,38368,1,1,True,1,None,N,16,0.4159774408207701,0,0,0,0,N,0,1,Compromised,40.0,0.0,40.0,0.0,20.0,0,6,403,False,134.0.26.185,215,62,424,993953.0,"783    http://www.chrissyx.com/daten/
Name: url, dtype: object",20.0,2.0,0.0,7.0,0.0,1,2,0,0,0
244,244,244,yuzhnaya.com.ua,yuzhnaya.com.ua,2014-03-19,2020-01-04,13355,2,2,True,1,None,N,15,0.3987372689843048,0,0,0,0,N,0,1,Compromised,4.0,0.0,4.0,4.0,0.0,0,5,200,True,194.28.84.94,13,81,745,586155.0,"976    http://yuzhnaya.com.ua/module/sapemodule/m2uSe...
Name: url, dtype: object",4.0,4.0,0.0,42.0,0.0,1,2,0,0,0
245,245,245,lakeshorekayakrental.com,lakeshorekayakrental.com,2011-05-20,2020-01-04,11532,2,2,True,2,None,N,24,0.4506735700502533,0,0,0,0,N,0,0,Compromised,4.0,0.0,4.0,4.0,0.0,0,5,404,True,173.244.208.231,19974,82,2356,347279.33333333326,"1335    http://lakeshorekayakrental.com/plogger/plog-a...
Name: url, dtype: object",4.0,4.0,0.0,35.5,0.0,1,1,0,0,0
246,246,246,ratishnaroor.com,photography.ratishnaroor.com,2013-09-10,2020-01-04,48747,1,1,True,1,True,N,28,0.44413624692826703,0,0,0,0,N,0,1,Compromised,62.0,31.0,9.0,0.0,5.0,0,5,200,True,192.185.21.201,494,81,505,894333.0,"539    http://photography.ratishnaroor.com/wp-include...
Name: url, dtype: object",35.0,2.4,0.0,38.74286,0.0,1,2,0,0,0
247,247,247,legassigardens.com,legassigardens.com,2011-02-07,2020-01-04,7626,12,8,True,9,None,N,18,0.4465539119746932,0,0,0,0,N,0,0,Compromised,6.0,0.0,6.0,6.0,0.0,0,7,403,True,192.124.249.6,2645,79,77,262661.0,"1020    http://legassigardens.com/wp-content/index.php
Name: url, dtype: object",6.0,1.6666666,0.0,14.333332999999998,0.0,1,1,0,0,0
248,248,248,yelia.com,www.yelia.com,2014-01-19,2020-01-04,75564,1,1,True,1,None,N,13,0.3976041113510931,0,0,0,0,N,0,1,Compromised,5.0,1.0,4.0,0.0,0.0,1,5,404,False,103.251.88.2,2160,81,1,730602.0,"255    http://www.yelia.com/home/link.php?url=anml.si...
Name: url, dtype: object",5.0,2.0,0.0,14.0,0.0,1,2,0,0,0
249,249,249,perzim.gov.my,perzim.gov.my,2014-06-27,2019-08-19,9746,8,5,True,4,None,N,13,0.4240934099952612,0,0,0,0,N,0,1,Compromised,4.0,0.0,4.0,4.0,0.0,0,5,404,True,104.24.107.195,56787,74,947,580330.125,"1048    http://perzim.gov.my/modules/bb/login.php
Name: url, dtype: object",4.0,3.0,0.0,21.0,0.0,1,2,0,0,0
250,250,250,konstantinivanov.info,blog.konstantinivanov.info,2014-05-21,2020-01-04,52837,2,1,True,1,True,Y,26,0.4319562591564223,0,0,0,0,N,0,1,Compromised,236.0,0.0,236.0,0.0,0.0,0,8,200,False,75.119.198.158,69033,75,0,674141.5555555555,"621    http://blog.konstantinivanov.info/notes/607
Name: url, dtype: object",236.0,3.8347455999999998,0.0,33.95339,0.0,1,2,0,0,0
251,251,251,gexperts.org,www.gexperts.org,2013-01-28,2020-01-04,47689,1,1,True,1,True,N,16,0.4003524408207701,0,0,0,0,N,0,1,Compromised,31.0,0.0,31.0,0.0,0.0,0,6,200,False,208.97.148.204,2212,67,32,475846.5555555556,"629    http://www.gexperts.org/files/beta/
Name: url, dtype: object",31.0,2.6129029999999998,0.0,10.064516000000001,0.0,1,2,0,0,0
252,252,252,szabosuzuki.hu,szabosuzuki.hu,2014-10-08,2020-01-01,12450,5,3,True,2,True,N,14,0.3977507095512776,0,0,0,0,N,0,0,Compromised,13.0,0.0,11.0,11.0,0.0,0,6,None,False,35.187.10.155,None,64,852,356175.0,"1108    http://szabosuzuki.hu/tmp/f.htm
Name: url, dtype: object",11.0,7.818182000000001,0.0,83.818184,0.0,1,1,0,0,0
253,253,253,janetlindsay.com,janetlindsay.com,2012-11-09,2019-08-25,10175,3,3,True,3,None,N,16,0.46875,0,0,0,0,N,0,0,Compromised,13.0,0.0,13.0,13.0,0.0,0,6,404,True,68.71.54.132,22399,81,1374,831874.0,"983    http://janetlindsay.com/admin/rbcroyalbank.com...
Name: url, dtype: object",13.0,3.2307692,0.0,29.76923,0.0,1,1,0,0,0
254,254,254,q8linux.net,www.q8linux.net,2014-07-04,2020-01-04,18799,4,3,True,3,None,N,15,0.4154039356509715,0,0,0,0,N,0,1,Compromised,32.0,0.0,32.0,0.0,0.0,0,6,200,False,104.28.6.85,2654,64,51,416329.0,"202    http://www.q8linux.net/download/
Name: url, dtype: object",32.0,2.0,0.0,10.0,0.0,1,2,0,0,1
255,255,255,fansju.com,aaron.fansju.com,2011-07-09,2020-01-04,17885,4,2,True,3,True,N,16,0.4159774408207701,0,0,0,1,N,0,1,Compromised,5.0,0.0,5.0,0.0,0.0,0,5,400,False,111.74.238.45,39,57,1624,965635.0,"1028    http://aaron.fansju.com/
Name: url, dtype: object",5.0,1.0,0.0,1.0,0.0,1,2,0,0,0
256,256,256,filleacgil.it,www.filleacgil.it,2010-06-25,2019-12-30,32577,1,1,True,1,None,N,17,0.39133974282321454,0,0,0,2,N,0,1,Compromised,1123.0,16.0,1098.0,0.0,22.0,0,5,200,False,77.43.21.58,70,81,1396,409241.0,"627    http://www.filleacgil.it/nazionale/components/...
Name: url, dtype: object",1092.0,8.630953,0.0,96.43681,0.0,1,2,0,0,0
257,257,257,crankingwidgets.com,blog.crankingwidgets.com,2014-05-29,2020-01-04,61849,2,1,True,1,True,N,24,0.4962719428364066,0,0,0,0,N,0,1,Compromised,10.0,0.0,10.0,0.0,1.0,0,6,200,False,75.119.210.222,26752,81,553,757341.5,"514    http://blog.crankingwidgets.com/2007/10/30/how...
Name: url, dtype: object",9.0,4.3333335,0.0,38.22222,0.0,1,2,0,0,0
258,258,258,nidc.kr,feelyou.nidc.kr,2013-09-02,2020-01-02,5348,1,1,True,1,True,N,15,0.4550279987754834,0,0,0,0,N,0,1,Compromised,3.0,0.0,3.0,0.0,0.0,0,5,200,True,222.122.43.202,408,60,1791,978049.0,"820    http://feelyou.nidc.kr/files
Name: url, dtype: object",3.0,1.0,0.0,6.0,0.0,1,2,0,0,0
259,259,259,unixbsd.info,ns2.unixbsd.info,2010-06-24,2020-01-04,19789006,1,2,True,2,True,Y,16,0.4159774408207701,0,0,0,0,N,0,1,Compromised,10.0,0.0,10.0,0.0,5.0,0,5,403,False,208.87.243.238,311,82,2052,634999.0,"1164    http://ns2.unixbsd.info/fcc-authentication/pos...
Name: url, dtype: object",5.0,2.0,0.0,29.0,0.0,1,2,0,0,0
260,260,260,4ru.info,www.4ru.info,2014-12-01,2020-01-04,103904,3,1,True,1,True,Y,12,0.3777569033835866,0,0,0,0,N,0,1,Compromised,3.0,1.0,2.0,0.0,0.0,0,5,200,False,80.208.224.234,590386,78,0,624669.7142857143,"1320    http://www.4ru.info/rus/alexagf-TMPro31xr.zip
Name: url, dtype: object",3.0,2.0,0.0,27.0,0.0,1,2,0,0,0
261,261,261,mkt030.com,links.mkt030.com,2010-06-30,2020-01-04,763793,1,2,True,1,None,N,16,0.4375,0,0,0,0,N,0,1,Compromised,58.0,8.0,50.0,0.0,0.0,7,7,200,True,74.112.69.9,39413,80,615,879106.25,"68    http://links.mkt030.com/ctt?kn=5&ms=MTE3MTI2MD...
Name: url, dtype: object",58.0,1.362069,5.37931,6.7413793,0.0,2,2,0,0,0
262,262,262,jennybristow.com,www.jennybristow.com,2017-08-21,2020-01-04,12837,1,1,True,2,True,N,20,0.4527410164862569,0,0,0,0,N,0,1,Compromised,12.0,0.0,12.0,0.0,0.0,0,5,200,True,185.119.173.173,4198,74,985,415101.66666666674,"270    http://www.jennybristow.com/wp-includes/js
Name: url, dtype: object",12.0,2.0,0.0,15.0,0.0,1,2,0,0,0
263,263,263,ferro-alloys.com,ferro-alloys.com,2013-09-07,2020-01-03,5161,2,1,True,1,True,N,16,0.4316024408207701,0,0,0,0,N,1,0,Compromised,60.0,0.0,59.0,59.0,14.0,0,6,200,False,114.112.100.74,122976,82,1,998812.0,"1316    http://ferro-alloys.com/uploadfiles/webpages/w...
Name: url, dtype: object",45.0,3.8666666,0.0,41.933334,0.0,1,1,0,0,0
264,264,264,merijn.nu,merijn.nu,2014-01-02,2019-10-30,1748,1,5,True,2,None,N,9,0.3684628534673422,0,0,0,0,N,0,0,Compromised,40.0,0.0,40.0,40.0,11.0,0,6,200,False,109.72.85.200,8202,55,85,965610.0,"728    http://merijn.nu/files/
Name: url, dtype: object",29.0,1.5862068999999999,0.0,8.482758500000001,0.0,1,1,0,0,0
265,265,265,geeksoncall.com.au,www.geeksoncall.com.au,2011-12-07,2020-01-04,4770,1,2,True,2,None,N,22,0.4465779615334223,0,0,0,0,N,0,2,Compromised,20.0,0.0,20.0,0.0,0.0,0,7,200,False,202.6.141.216,318,68,87,900344.0,"440    http://www.geeksoncall.com.au/files/
Name: url, dtype: object",20.0,2.0,0.0,7.0,0.0,1,3,0,0,0
266,266,266,superweb.ws,sesso.superweb.ws,2014-09-15,2019-11-03,4060,2,4,True,3,True,N,17,0.3611936728999249,0,0,0,0,N,0,1,Compromised,124.0,0.0,88.0,0.0,55.0,0,7,200,False,5.39.82.63,12002,79,408,469718.44444444455,"618    http://sesso.superweb.ws/video-gay-vergini.html
Name: url, dtype: object",33.0,1.0,0.0,17.0,0.0,1,2,0,0,0
267,267,267,johnleenissan.com,johnleenissan.com,2013-06-13,2020-01-04,219469,9,10,True,4,None,N,17,0.4318527953958828,0,0,0,0,N,0,0,Compromised,8.0,0.0,8.0,8.0,0.0,0,5,200,True,54.165.37.159,332001,80,709,662187.3333333335,"57    http://johnleenissan.com/paypal/158c6e3492fb60...
Name: url, dtype: object",8.0,2.375,0.0,40.875,0.0,1,1,1,1,0
268,268,268,dgzx.net,it.dgzx.net,2010-06-28,2020-01-04,37057,2,1,True,1,True,N,11,0.3869744092943177,0,0,0,0,N,0,1,Compromised,20.0,0.0,20.0,0.0,0.0,0,5,200,True,59.39.181.213,6959247,81,1219,305454.66666666674,"599    http://it.dgzx.net/zxkt/gaoyiji/2009-2010-2/so...
Name: url, dtype: object",20.0,5.0,0.0,31.95,0.0,1,2,0,0,0
269,269,269,enzan.org,kcs.enzan.org,2011-07-11,2020-01-02,4386,4,3,True,2,None,N,13,0.4240934099952612,0,0,0,0,N,0,1,Compromised,3.0,0.0,3.0,0.0,0.0,0,5,404,True,45.32.23.181,29728,70,1215,792800.5,"993    http://kcs.enzan.org/wp-includes/js/dp
Name: url, dtype: object",3.0,3.0,0.0,18.0,0.0,1,2,0,0,0
270,270,270,juwelenmarkt.de,www.juwelenmarkt.de,2010-06-29,2020-01-04,55878,4,5,True,3,None,N,19,0.4339193042469034,0,0,0,0,N,0,1,Compromised,2.0,1.0,1.0,0.0,0.0,0,6,200,True,217.160.0.118,39561,71,84,426810.4285714286,"387    http://www.juwelenmarkt.de/checkout.php
Name: url, dtype: object",2.0,1.0,0.0,12.5,0.0,1,2,0,0,0
271,271,271,goodfile.co.kr,pds1.goodfile.co.kr,2010-11-12,2020-01-03,8626,2,1,True,2,True,N,19,0.4552687314903674,0,0,0,0,N,0,2,Compromised,22.0,0.0,22.0,0.0,0.0,0,7,403,False,183.110.214.153,5718,70,434,645181.3333333335,"1124    http://pds1.goodfile.co.kr/data_file/
Name: url, dtype: object",22.0,2.0,0.0,11.0,0.0,1,3,0,0,0
272,272,272,postkarten-archiv.de,www.postkarten-archiv.de,2010-06-29,2020-01-04,26731,2,5,True,1,None,N,24,0.4962719428364067,0,0,0,0,N,1,1,Compromised,13.0,0.0,13.0,0.0,0.0,0,7,200,True,217.160.0.52,4579,81,62,494003.33333333326,"497    http://www.postkarten-archiv.de/hannover.list-...
Name: url, dtype: object",13.0,3.0,0.0,58.0,0.0,1,2,0,0,0
273,273,273,questgrp.net,questgrp.net,2011-10-12,2020-01-04,5876,5,1,True,1,True,N,12,0.4064536489558933,0,0,0,0,N,0,0,Compromised,38.0,0.0,38.0,38.0,12.0,0,5,404,True,67.205.2.160,76059,81,1030,460721.5,"835    http://questgrp.net/beta/wp-content/plugins/du...
Name: url, dtype: object",26.0,2.7692308,0.0,18.884615,0.0,1,1,0,0,0
274,274,274,reelsa.net,reelsa.net,2013-05-23,2019-12-04,4289,2,2,True,1,None,N,10,0.3558049217994889,0,0,0,0,N,0,0,Compromised,5.0,0.0,5.0,5.0,0.0,0,5,404,True,82.98.172.25,135515,81,2069,307960.33333333326,"518    http://reelsa.net/admin/_reelsa/archivos/produ...
Name: url, dtype: object",5.0,5.0,0.0,45.0,0.0,1,1,0,0,0
275,275,275,jandlfabricating.com,jandlfabricating.com,2011-06-18,2019-10-05,8338,3,2,True,1,True,N,20,0.4730229691428727,0,0,0,0,N,0,0,Compromised,3.0,0.0,3.0,3.0,0.0,0,6,404,False,208.115.98.114,168364,81,1449,787066.0,"181    http://jandlfabricating.com/administrator/emai...
Name: url, dtype: object",3.0,2.0,0.0,36.0,0.0,1,1,0,0,0
276,276,276,verdone.ca,mike.verdone.ca,2013-09-02,2020-01-02,22016,2,1,True,1,True,N,15,0.4320706023176381,0,0,0,0,N,0,1,Compromised,39.0,0.0,39.0,0.0,0.0,0,5,200,True,69.163.152.153,17124,61,934,703649.0,"467    http://mike.verdone.ca/media/
Name: url, dtype: object",39.0,1.9230769,0.0,9.384615,0.0,1,2,0,0,0
277,277,277,rpi-informatique.com,www.rpi-informatique.com,2010-07-03,2020-01-04,15798,2,2,True,2,None,N,24,0.4819235700502533,0,0,0,0,N,1,1,Compromised,13.0,0.0,12.0,0.0,0.0,0,5,200,False,213.186.33.176,1242,68,122,854964.5,"809    http://www.rpi-informatique.com/cdp/
Name: url, dtype: object",12.0,2.0,0.0,5.0,0.0,1,2,0,0,0
278,278,278,7u.cz,nfldraftprospects.7u.cz,2010-09-16,2020-01-04,15198,1,6,True,2,True,N,23,0.4893582893618561,0,0,0,0,N,0,1,Compromised,129.0,0.0,119.0,0.0,37.0,0,5,200,False,77.93.211.244,81,81,298,555475.6666666665,"408    http://nfldraftprospects.7u.cz/filipina-women/...
Name: url, dtype: object",82.0,2.0,0.0,17.475609,0.0,1,2,0,0,0
279,279,279,carnesviba.com,www.carnesviba.com,2014-10-16,2019-12-26,5207,4,2,True,2,True,N,18,0.4465539119746932,0,0,0,0,N,0,1,Compromised,6.0,0.0,3.0,0.0,0.0,0,6,404,True,104.24.113.39,39821,74,2425,767936.3333333335,"524    http://www.carnesviba.com/ja/images/te.bin
Name: url, dtype: object",3.0,3.0,0.0,17.0,0.0,1,2,0,0,0
280,280,280,aubedutemps.info,www.aubedutemps.info,2010-07-21,2020-01-04,10339,3,5,True,1,None,Y,20,0.4730229691428727,0,0,0,0,N,0,1,Compromised,23.0,22.0,1.0,0.0,0.0,0,7,200,False,217.160.0.253,2052368,81,94,507323.75,"787    https://www.aubedutemps.info/launcher/ADTLaunc...
Name: url, dtype: object",23.0,1.9565217000000001,0.0,11.217391000000001,0.0,1,2,0,0,0
281,281,281,finalsayan.com,www.finalsayan.com,2014-03-16,2020-01-04,24388,1,4,True,2,None,N,18,0.4274227482598221,0,0,0,1,N,0,1,Compromised,24.0,0.0,24.0,0.0,0.0,0,5,200,False,162.243.81.4,9651,78,114,575971.0,"1119    http://www.finalsayan.com/media/manga_deluxe/
Name: url, dtype: object",24.0,3.5,0.0,26.0,0.0,1,2,0,0,0
282,282,282,losfor.com,www.losfor.com,2018-07-16,2020-01-04,1675,1,2,True,2,True,N,14,0.3731535052029665,0,0,0,0,N,0,1,Compromised,5.0,0.0,4.0,0.0,0.0,0,9,200,True,87.98.154.146,46580,81,2,542027.0,"853    https://www.losfor.com/newsletter-Ug7ivN/redir...
Name: url, dtype: object",4.0,3.0,0.0,89.0,0.0,1,2,0,0,0
283,283,283,thundaga.com,pokemon.thundaga.com,2010-07-17,2020-01-04,14027,2,2,True,1,True,N,20,0.4605229691428728,0,0,0,0,N,0,1,Compromised,27.0,0.0,27.0,0.0,0.0,0,10,200,False,64.22.68.69,467348,73,3031,675720.5,"472    http://pokemon.thundaga.com/pokesavbw.exe
Name: url, dtype: object",27.0,1.0,0.0,4.851852,0.0,1,2,0,0,0
284,284,284,mkt2944.com,links.mkt2944.com,2012-01-12,2020-01-01,87824,1,2,True,1,None,N,17,0.45210932168221707,0,0,0,0,N,0,1,Compromised,99.0,11.0,87.0,0.0,0.0,5,7,200,False,74.121.50.40,4233,81,1140,897217.0,"328    http://links.mkt2944.com/servlet/MailView?ms=N...
Name: url, dtype: object",98.0,1.8877552,3.5510203999999996,15.204082000000001,0.0,1,2,0,0,0
285,285,285,kalliope.it,www.kalliope.it,2010-07-27,2020-01-04,16283,3,1,True,1,None,N,15,0.3987372689843048,0,0,0,0,N,0,1,Compromised,6.0,0.0,6.0,0.0,5.0,0,5,404,False,5.249.135.172,21616,74,385,386071.0,"493    http://www.kalliope.it/wp-includes/doc.exe
Name: url, dtype: object",1.0,2.0,0.0,20.0,0.0,1,2,0,0,0
286,286,286,sinopac.org.tw,union.sinopac.org.tw,2015-01-14,2019-12-29,8152,3,1,True,1,True,N,20,0.4385868744561048,0,0,0,0,N,0,2,Compromised,21.0,0.0,21.0,0.0,0.0,0,6,200,True,13.113.202.119,350,81,1407,578449.75,"661    http://union.sinopac.org.tw/uploadfiles/servic...
Name: url, dtype: object",21.0,1.6666666,0.0,18.285715,0.0,1,3,0,0,0
287,287,287,lonnysfilme.de,lonnysfilme.de,2012-11-09,2020-01-02,9157,1,2,True,1,None,N,14,0.4223479138995887,0,0,0,0,N,0,0,Compromised,60.0,1.0,59.0,59.0,31.0,0,7,200,True,5.9.28.39,54112,81,899,600634.8,"842    http://lonnysfilme.de/includes/js/ThemeOffice/...
Name: url, dtype: object",29.0,4.862069,0.0,57.310345,0.0,1,1,0,0,0
288,288,288,gurgaonchamber.org,gurgaonchamber.org,2014-04-22,2020-01-04,4128,2,2,True,2,None,N,18,0.4274227482598221,0,0,0,0,N,0,0,Compromised,5.0,0.0,5.0,5.0,1.0,0,11,404,False,67.222.24.87,332,73,470,745274.6666666665,"400    http://gurgaonchamber.org/css/x/index.php
Name: url, dtype: object",4.0,2.0,0.0,8.5,0.0,1,1,0,0,0
289,289,289,2ic.cc,hengli.2ic.cc,2013-03-09,2020-01-01,1278,2,1,True,2,True,Y,13,0.3783733421203239,0,0,0,0,N,0,1,Compromised,317.0,0.0,316.0,0.0,296.0,0,6,403,False,119.29.145.140,364,72,443,885383.0,"459    http://hengli.2ic.cc/icminer_toolbar/wt/
Name: url, dtype: object",20.0,3.0,0.0,20.0,0.0,1,2,0,0,0
290,290,290,shelterofglory.org,shelterofglory.org,2014-11-16,2020-01-04,2817,25,4,True,4,None,N,18,0.4135338593709332,0,0,0,0,N,0,0,Compromised,6.0,0.0,6.0,6.0,0.0,0,5,404,False,136.243.51.93,28543,82,845,773571.5,"1175    http://shelterofglory.org/wp-includes/www.payp...
Name: url, dtype: object",6.0,4.5,0.0,46.0,0.0,1,1,0,0,0
291,291,291,computrade.com.br,www.computrade.com.br,2013-10-23,2019-10-07,1324,2,2,True,2,None,N,21,0.4448148029398222,0,0,0,0,N,0,2,Compromised,12.0,1.0,4.0,0.0,2.0,11,5,200,False,177.153.227.184,4985,81,0,425466.0,"354    http://www.computrade.com.br/yyll/Sign-in.php?...
Name: url, dtype: object",3.0,2.0,10.0,17.0,0.0,1,3,0,0,0
292,292,292,vmapro.com,vmapro.com,2011-02-24,2020-01-04,11375,5,5,True,3,None,N,10,0.3652410164862568,0,0,0,0,N,0,0,Compromised,3.0,0.0,3.0,3.0,0.0,0,6,None,False,104.24.113.29,None,70,2333,694449.0,"563    http://vmapro.com/site/update/data.htm
Name: url, dtype: object",3.0,3.0,0.0,21.0,0.0,1,1,0,0,0
293,293,293,uanix.net,autos.uanix.net,2013-03-25,2020-01-04,3996,1,4,True,2,True,N,15,0.40502799877548346,0,0,0,0,N,0,1,Compromised,297.0,0.0,297.0,0.0,152.0,0,7,200,False,89.184.76.249,6083,76,465,642373.2857142857,"867    http://autos.uanix.net/dir/ttl/mercedes-benz
Name: url, dtype: object",145.0,2.9655172999999997,0.0,15.868965,0.0,1,2,0,0,0
294,294,294,adservicemedia.dk,online.adservicemedia.dk,2012-03-30,2020-01-04,385843,2,2,True,3,None,N,24,0.4506735700502533,0,0,2,0,N,0,1,Compromised,36.0,3.0,31.0,0.0,0.0,2,6,200,True,35.201.103.237,315275,82,88,553149.2,"1243    https://online.adservicemedia.dk/cgi-bin/click...
Name: url, dtype: object",34.0,2.0,0.9117646999999999,16.617647,0.0,1,2,0,0,0
295,295,295,hysr.co.kr,www.hysr.co.kr,2012-10-02,2019-12-30,1209,1,1,True,1,True,N,14,0.3731535052029665,0,0,0,0,N,0,2,Compromised,41.0,0.0,40.0,0.0,21.0,0,7,200,False,110.45.140.100,3689,60,99,416018.0,"1297    http://www.hysr.co.kr/down/
Name: url, dtype: object",19.0,2.0,0.0,6.0,0.0,1,3,0,0,0
